40 40
   0    0   A0   AE  4AE  4A0    0    0    0    0    0  4A4  4AE  4A0    0    0   C1   CA  4C1    0    0    0   B3   B4    0    0    0    0   B3   B6   B7   C0   C4  4C0   C0   C4  4C4  4C0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
   0   A0   A7  CA5  8A5  4A7  4A0    0    0    0    0  4B2  4A8  4A7  4A0    0   C2    0   A0   A1   B3   B5  CB5  CB3    0    0   B3   B6  CB9   B9   BA  4C8   C7   C8  4C8   C6  4C6   C8    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
  A0   A7   A5  CCC  8CC  4A5  4A7  4A0  400    0    0  8A0  8A7  4A5  4A7  4A0   C5   A0   A2  CA0  CB4  CB3    0    0   B3   B6  CB9   B9  CB6  CB3    0  4C8   C5   C8  4C8  4C8   C8   C8    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
 CB2  CA8  CA7  4C8   C8  8A7  8A8  8B2   C0  4C4  4C4  4C4  4C4  4CC  8A5  8B2  8C2  CA1  CA0   C0  4C4  4C0    0   D4   D5    0   A3  4C0   C0   C4  4C0   C0   C4  4C4   C0   C4   C4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
 CA4  CAE  CA0  4C8   C8  8A0  8AE  8A4  8C0  CC4  CC4  CC4  CC4  CCC   A5   B2    0   D1   D2  8C0  CC4  CC0   D1   D6  CD8   A3  CA5  CA3  4C8   CB   C8  4C8   C9   CA  4C8   C6   C4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
   0    0    0  4C8   C8    0    0    0  C00    0    0   A0   A7  CA5  CA7  CA0    0   D3  CD1   C0  4C0    0  CD7  CD6  CD1  8C0  CA3    0  8C0  8C4  CC0  8C0  8C4  CC4  4C8  8C6  8C4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
   0    0    0  4C8   C8    0    0    0    0    0    0  CB2  CA8  CA7  CA0    0   D1  CD3    0  4C8   C8    0  CD5  CD4    0    0    0    0    0  400    0    0    0    0  8C0  8C4  8C4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
   0    0    0  8C0  CC0    0    0    0    0    0    0  CA4  CAE  CA0    0    0  CD2  CD1    0  8C0  CC0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
 C03  C03  C03  C03  C03  C03  C03  C03    0   21    0    0    0    0  4C8   C8  400    0    0    0   21    0   21    0    0    0   21    0    0    0   21    0    0    0    0  41F  41D    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0   21    0    0    0  400  4C8   C8  400    0    0    0   21    0   21    0    0    0  41F  41D    0    0  41F  41D    0    0    0  80D  82D  472    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0  421    0    0    0  400  4C8   C8  400    0    0    0   21    0  41F  41D    0    0  80D  82D  472    0  81D  43D    0    0    0    0  80D  873    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
